id,temperature,season,outer,top,bottom
1,-30,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
2,-29,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
3,-28,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
4,-27,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
5,-26,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
6,-25,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
7,-24,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
8,-23,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
9,-22,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
10,-21,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
11,-20,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
12,-19,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
13,-18,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
14,-17,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
15,-16,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
16,-15,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
17,-14,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
18,-13,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
19,-12,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
20,-11,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
21,-10,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
22,-9,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
23,-8,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
24,-7,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
25,-6,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
26,-5,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
27,-4,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
28,-3,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
29,-2,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
30,-1,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
31,0,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
32,1,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
33,2,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
34,3,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
35,4,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
36,5,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
37,6,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
38,7,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
39,8,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
40,9,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
41,10,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
42,11,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
43,12,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
44,13,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
45,14,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
46,15,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스"
47,16,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠, 반소매 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스,숏 팬츠"
48,17,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠, 반소매 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스,숏 팬츠"
49,18,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠, 반소매 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스,숏 팬츠"
50,19,spring,"후드 집업,블루종/MA-1,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠, 반소매 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스,숏 팬츠"
51,20,spring,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠, 반소매 티셔츠","데님 팬츠,트레이닝/조거 팬츠,코튼 팬츠,슈트 팬츠/슬랙스,숏 팬츠"
52,21,summer,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","긴소매 티셔츠,반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
53,22,summer,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","긴소매 티셔츠,반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
54,23,summer,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","긴소매 티셔츠,반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
55,24,summer,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","긴소매 티셔츠,반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
56,25,summer,"후드 집업,블루종/MA-1,트러커 재킷,카디건,아노락 재킷,트레이닝 재킷,베스트,나일론/코치 재킷","긴소매 티셔츠,반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
57,26,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
58,27,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
59,28,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
60,29,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
61,30,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
62,31,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
63,32,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
64,33,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
65,34,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
66,35,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
67,36,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
68,37,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
69,38,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
70,39,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"
71,40,summer,None,"반소매 티셔츠, 민소매 티셔츠, 셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,숏 팬츠"